School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
610158,Harriet E Sayre Elementary Language Academy,ES,FALSE,Strong,68,,,Average,41,Average,50,Weak,,,,96.20%,605,25
609974,Hawthorne Elementary Scholastic Academy,ES,TRUE,Very Strong,92,Very Strong,88,Strong,61,Average,56,Weak,90,Very Strong,84,96.90%,569,6
609985,Helen M Hefferan Elementary School,ES,FALSE,Weak,29,Weak,39,Weak,26,Strong,63,Weak,58,Average,52,93.80%,259,26
610122,Helen Peirce International Studies Elementary School,ES,FALSE,Average,58,,,Weak,32,Weak,22,Weak,,,,96.70%,977,77
609972,Helge A Haugan Elementary School,ES,FALSE,Average,43,Weak,39,Average,57,Average,49,Weak,33,Weak,30,96.20%,1299,14
609856,Henry Clay Elementary School,ES,FALSE,Weak,38,Weak,39,Weak,30,Weak,30,Weak,24,Weak,31,95.20%,633,55
610040,Henry D Lloyd Elementary School,ES,FALSE,,,,,,,,,Weak,,,,96.20%,1334,19
610092,Henry H Nash Elementary School,ES,FALSE,Average,41,,,Strong,68,Strong,76,Weak,,,,95.10%,393,25
610279,Henry O Tanner Elementary School,ES,FALSE,Weak,33,,,Average,42,Average,55,Weak,,,,91.80%,448,69
609861,Henry R Clissold Elementary School,ES,FALSE,Average,45,Strong,61,Weak,39,Strong,61,Weak,38,Average,51,95.10%,588,75
610297,High School of Leadership at South Shore,HS,FALSE,,,Weak,30,,,,,Weak,16,Weak,28,72.00%,731,43
609798,Hiram H Belding Elementary School,ES,FALSE,Strong,64,Strong,63,Strong,67,Strong,69,Weak,49,Average,51,95.00%,672,16
609768,Hope College Preparatory High School,HS,FALSE,Weak,31,Average,51,Weak,37,Average,44,Weak,56,Weak,35,72.20%,561,68
609850,Horace Greeley Elementary School,ES,FALSE,Strong,65,,,Average,48,Weak,38,Weak,,,,95.90%,611,6
610052,Horace Mann Elementary School,ES,FALSE,Weak,28,Weak,31,Weak,31,Weak,30,Weak,31,Weak,24,92.60%,472,46
610058,Horatio May Elementary Community Academy,ES,FALSE,Average,42,,,Average,47,Average,56,Weak,,,,91.90%,458,25
609713,Hyde Park Academy High School,HS,FALSE,Weak,29,Weak,39,Weak,34,Average,43,Weak,35,Average,41,70.50%,1518,42
610390,Hyman G Rickover Naval Academy High School,HS,FALSE,Strong,64,,,Strong,64,Average,42,Weak,,,,92.90%,423,77
610110,Ida B Wells Preparatory Elementary Academy,ES,FALSE,Average,49,,,Strong,64,Very Strong,93,Weak,,,,93.20%,215,35
610273,Ignance Paderewski Elementary Learning Academy,ES,FALSE,Weak,31,,,Strong,63,Very Strong,98,Weak,,,,92.10%,130,30
610384,Infinity Math Science and Technology High School,HS,FALSE,Average,58,,,Strong,66,Strong,65,Weak,,,,92.20%,388,30
610078,Inter-American Elementary Magnet School,ES,FALSE,Strong,67,,,Average,50,Average,51,Weak,,,,96.20%,690,6
609848,Ira F Aldridge Elementary School,ES,FALSE,Weak,39,,,Weak,36,Weak,39,Weak,,,,92.90%,285,54
